Tipo documento;Nacionalidad;GÈnero;Fecha nacimiento;PaÌs residencia;Municipio residencia;Estrato vivienda;Personas hogar;Tiene internet;Tiene computador;Colegio gÈnero;Calendario;Colegio ·rea;Jornada;Lectura crÌtica;DesempeÒo lectura critica;Matem·ticas;DesempeÒo matem·ticas;Ciencias naturales;DesempeÒo naturales;Ciencias sociales;DesempeÒo sociales;Ingles;DesempeÒo ingles;Puntaje global;Percentil global
TI;COLOMBIA;M;28/09/2000;COLOMBIA;GIR”N;Estrato 2;7 a 8;Si;Si;MIXTO;A;URBANO;NOCHE;56;3;42;2;40;1;44;2;35;A-;223;20
CC;COLOMBIA;M;23/04/1999;COLOMBIA;PALMIRA;Sin Estrato;3 a 4;Sin respuesta;Si;MIXTO;B;RURAL;COMPLETA;53;3;53;3;53;2;49;2;42;A-;256;34
TI;COLOMBIA;M;28/03/2001;COLOMBIA;BOGOT¡Å D.C.;Estrato 3;1 a 2;Si;Si;MIXTO;OTRO;URBANO;MA—ANA;54;3;39;2;40;1;51;2;51;A1;232;23
TI;COLOMBIA;F;24/12/2000;COLOMBIA;POPAY¡N;Estrato 3;1 a 2;Si;Si;FEMENINO;B;URBANO;COMPLETA;68;4;60;3;61;3;61;3;60;A2;312;60
TI;COLOMBIA;M;13/07/2001;COLOMBIA;BELLO;Estrato 4;3 a 4;Si;Si;MIXTO;A;URBANO;SABATINA;58;3;44;2;51;2;54;2;51;A1;258;35
TI;COLOMBIA;F;27/07/2000;COLOMBIA;CALI;Estrato 5;5 a 6;Si;Si;MIXTO;B;URBANO;COMPLETA;75;4;75;4;71;4;81;4;87;B+;382;96
TI;COLOMBIA;F;16/11/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 2;3 a 4;Si;Si;MIXTO;A;URBANO;NOCHE;59;3;59;3;54;2;54;2;48;A1;279;44
TI;COLOMBIA;F;18/09/2001;COLOMBIA;CALI;Estrato 2;1 a 2;Si;Si;MIXTO;B;URBANO;MA—ANA;57;3;55;3;61;3;65;3;60;A2;298;53
CC;COLOMBIA;F;26/08/1991;COLOMBIA;CI…NAGA;Estrato 1;7 a 8;No;No;MIXTO;A;URBANO;NOCHE;55;3;40;2;49;2;44;2;41;A-;233;23
CC;COLOMBIA;F;18/11/1998;COLOMBIA;CALI;Estrato 5;1 a 2;Si;Si;MIXTO;B;RURAL;COMPLETA;76;4;66;3;63;3;67;3;89;B+;348;80
TI;COLOMBIA;M;4/06/2001;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;67;4;69;3;73;4;57;3;82;B+;338;75
TI;COLOMBIA;M;15/06/2001;COLOMBIA;CALI;Estrato 3;5 a 6;Si;Si;MIXTO;B;URBANO;MA—ANA;71;4;48;2;49;2;63;3;72;B1;294;51
CC;COLOMBIA;F;14/09/1999;COLOMBIA;CALI;Estrato 1;3 a 4;Si;Si;MIXTO;B;URBANO;SABATINA;44;2;41;2;35;1;36;1;38;A-;195;9
TI;COLOMBIA;M;29/05/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 6;3 a 4;Si;Si;MIXTO;A;URBANO;COMPLETA;66;4;66;3;63;3;60;3;88;B+;328;68
